"Techstack","Links"
"React, Node.js, MongoDB","https://mfaiz01.github.io/MyPortfolio/"
"Angular,.NET, SQL Server","https://mfaiz01.github.io/MyPortfolio/"
"Vue.js, Ruby on Rails, PostgreSQL","https://mfaiz01.github.io/MyPortfolio/"
"Python, Django, MySQL","https://mfaiz01.github.io/MyPortfolio/"
"Java, Spring Boot, Oracle","https://mfaiz01.github.io/MyPortfolio/"
"Flutter, Firebase, GraphQL","https://mfaiz01.github.io/MyPortfolio/"
"WordPress, PHP, MySQL","https://mfaiz01.github.io/MyPortfolio/"
"Magento, PHP, MySQL","https://mfaiz01.github.io/MyPortfolio/"
"React Native, Node.js, MongoDB","https://mfaiz01.github.io/MyPortfolio/"
"iOS, Swift, Core Data","https://mfaiz01.github.io/MyPortfolio/"
"Android, Java, Room Persistence","https://mfaiz01.github.io/MyPortfolio/"
"Kotlin, Android, Firebase","https://mfaiz01.github.io/MyPortfolio/"
"Android TV, Kotlin, Android NDK","https://mfaiz01.github.io/MyPortfolio/"
"iOS, Swift, ARKit","https://mfaiz01.github.io/MyPortfolio/"
"Cross-platform, Xamarin, Azure","https://mfaiz01.github.io/MyPortfolio/"
"Backend, Kotlin, Spring Boot","https://mfaiz01.github.io/MyPortfolio/"
"Frontend, TypeScript, Angular","https://mfaiz01.github.io/MyPortfolio/"
"Full-stack, JavaScript, Express.js","https://mfaiz01.github.io/MyPortfolio/"
"Machine Learning, Python, TensorFlow","https://mfaiz01.github.io/MyPortfolio/"
"DevOps, Jenkins, Docker","https://mfaiz01.github.io/MyPortfolio/"
